,index,Survey_Question,SEAF_Vectors,Unnamed_2,Master_Framework,"('indicator_from_Master_Framework_',)","('What_Works',)","('Trigger_for_Recommending_What_Works',)","('SEAF_Themes',)","('Type',)","('SEAF_Scoring_parameter',)",vector,parameter,par
269,268,Does the company report publicly to company stakeholders on percentage spent with women-owned or -led businesses?,Women-powered value chain,,"ENT_OWNMIC_F_109,ENT_BUSREG_F_85,ENT_OWNSME_F_110","% of microenterprises that are owned by women, Can a woman register a business in the same way as a man?, % of SMEs that are owned by women",Disclose gender equality and diversity targets and/or key performance  indicators (KPIs) on gender equality and D&I in publicly available reports and indices (Company Reporting),No,Women-led businesses,Communication/ Reporting,"Yes/no response contributing to sub-parameter score
",,,
270,269,Does the company consider sex-disaggregated information as a performance metric within its supply chains?,Women-powered value chain,,,,Collect and report on gender equality and diversity targets throughout the company supply chain,No,Supply Chain,Monitoring & Evaluation,"Yes/no response contributing to sub-parameter score
",,,
271,270,Does the company collect sex-disaggregated information from its suppliers?,Women-powered value chain,,"ENT_OWNMIC_F_109,ENT_BUSREG_F_85,ENT_OWNSME_F_110","% of microenterprises that are owned by women, Can a woman register a business in the same way as a man?, % of SMEs that are owned by women","Integrate gender equality, parity, and diversity considerations into procurement policies and practices to ensure subcontractor/ supplier alignment with the company's gender equality and diversity goals (Hiring)",No,"Gender Equality,Supply Chain",Monitoring & Evaluation,"Yes/no response contributing to sub-parameter score
","Women-Powered
Value Chains",Approach to Promote Gender Diversity in Management of Supplier Workforce,Implementation
272,271,Does the company report to the Board of Directors on the percentage spent with women-owned or -led businesses?,Women-powered value chain,,"ENT_OWNMIC_F_109,ENT_BUSREG_F_85,ENT_OWNSME_F_110","% of microenterprises that are owned by women, Can a woman register a business in the same way as a man?, % of SMEs that are owned by women",Collect and report on gender equality and diversity targets throughout the company supply chain,No,Women-led businesses,Communication/ Reporting,"Yes/no response contributing to sub-parameter score
",,,
273,272,Does the company have a stand-alone policy or a commitment embedded in a broader corporate policy that includes proactively sourcing from women-owned or -led business?,Women-powered value chain,,"ENT_OWNMIC_F_109,ENT_BUSREG_F_85,ENT_OWNSME_F_110","% of microenterprises that are owned by women, Can a woman register a business in the same way as a man?, % of SMEs that are owned by women","Integrate gender equality, parity, and diversity considerations into procurement policies and practices to ensure subcontractor/ supplier alignment with the company's gender equality and diversity goals (Hiring)*Dedicate budget and track use of financial resources to increase gender equality and diversity (Company Performance)",No,"Women-led businesses,Supply Chain",Policy,"Yes/no response contributing to sub-parameter score
",,,
274,273,Does the company have an explicit commitment to integrate women-owned and -led businesses into its supply chain?,Women-powered value chain,,"ENT_BUSREG_F_85,ENT_OWNMIC_F_109,ENT_OWNSME_F_110","Can a woman register a business in the same way as a man?, % of microenterprises that are owned by women, % of SMEs that are owned by women","Integrate gender equality, parity, and diversity considerations into procurement policies and practices to ensure subcontractor/ supplier alignment with the company's gender equality and diversity goals (Hiring)*Disclose gender equality and diversity targets and/or key performance  indicators (KPIs) on gender equality and D&I in publicly available reports and indices (Company Reporting)",No,"Women-led businesses,Supply Chain",Policy,"Yes/no response contributing to sub-parameter score
",,,
275,274,Does the company participate in trade fairs that engage gender-diverse suppliers?,Women-powered value chain,,,,"Integrate gender equality, parity, and diversity considerations into procurement policies and practices to ensure subcontractor/ supplier alignment with the company's gender equality and diversity goals (Hiring)",No,"Supply Chain,Women-led businesses",Practice,"Yes/no response contributing to sub-parameter score
","Women-Powered
Value Chains",Approach to Promote Gender Diversity in Management of Supplier Workforce,Implementation
276,275,Does the company conduct market research on the specific product and/or service needs of women and girls?,Women-powered value chain,,"PAG_PURCHS_F_113,PAG_EARNIN_F_112","% of women who have final say in making large purchases, % of women who decide themselves how their earnings are used",Assess and cater to the specific needs of female customers ,No,Products & Services,Monitoring & Evaluation,"Yes/no response contributing to sub-parameter score
",,,
277,276,Does the company develop products and/ or services that specifically target or meet the needs of women and girls?,Women-powered value chain,,"PAG_PURCHS_F_113,PAG_EARNIN_F_112","% of women who have final say in making large purchases, % of women who decide themselves how their earnings are used",Assess and cater to the specific needs of female customers ,No,Products & Services,Practice,"Yes/no response contributing to sub-parameter score
",,,
278,277,Do products and services provided by the company consider the needs of men and women customers?,Women-powered value chain,,PAG_PURCHS_F_113,% of women who have final say in making large purchases,Assess and cater to the specific needs of female customers ,No,Products & Services,Practice,"Yes/no response contributing to sub-parameter score
",,,
279,278,Does the company set procurement targets and/or goals for the amount and percentage spent with women-owned businesses?,Women-powered value chain,,,,"Integrate gender equality, parity, and diversity considerations into procurement policies and practices to ensure subcontractor/ supplier alignment with the company's gender equality and diversity goals (Hiring)*Disclose gender equality and diversity targets and/or key performance  indicators (KPIs) on gender equality and D&I in publicly available reports and indices (Company Reporting)",No,"Supply Chain,Women-led businesses",Monitoring & Evaluation,"Yes/no response contributing to sub-parameter score
",,,
